Date,PM10,SO2,CO,O3,Max,Critical Component,Category,Indeks,Baik/Buruk
8/3/2020,17,1,11,5,17,PM10,Good,1,Baik
8/4/2020,24,1,9,0,24,PM10,Good,1,Baik
8/5/2020,26,1,11,3,26,PM10,Good,1,Baik
8/6/2020,26,1,23,25,26,PM10,Good,1,Baik
8/7/2020,17,1,37,57,57,O3,Moderate,2,Baik
8/8/2020,20,1,12,49,49,O3,Good,1,Baik
8/9/2020,39,0,20,37,39,PM10,Good,1,Baik
8/10/2020,45,0,30,0,45,PM10,Good,1,Baik
8/11/2020,39,1,38,6,39,PM10,Good,1,Baik
8/12/2020,17,1,23,11,23,CO,Good,1,Baik
8/13/2020,17,1,51,9,51,CO,Moderate,2,Baik
8/14/2020,20,1,11,0,20,PM10,Good,1,Baik
8/15/2020,19,4,18,15,19,PM10,Good,1,Baik
8/16/2020,19,0,11,6,19,PM10,Good,1,Baik
8/17/2020,14,0,10,10,14,PM10,Good,1,Baik
8/18/2020,16,0,13,11,16,PM10,Good,1,Baik
8/19/2020,15,0,14,14,15,PM10,Good,1,Baik
8/20/2020,19,0,17,16,19,PM10,Good,1,Baik
8/21/2020,22,0,18,19,22,PM10,Good,1,Baik
8/22/2020,35,0,20,22,35,PM10,Good,1,Baik
8/23/2020,37,0,16,22,37,PM10,Good,1,Baik
8/24/2020,17,0,9,20,20,O3,Good,1,Baik
8/25/2020,23,0,17,22,23,PM10,Good,1,Baik
8/26/2020,13,0,8,22,22,O3,Good,1,Baik
8/27/2020,21,1,22,27,27,O3,Good,1,Baik
8/28/2020,21,0,11,23,23,O3,Good,1,Baik
8/29/2020,16,0,3,21,21,O3,Good,1,Baik
8/30/2020,20,0,14,27,27,O3,Good,1,Baik
8/31/2020,20,0,13,30,30,O3,Good,1,Baik
9/1/2020,21,0,15,24,24,O3,Good,1,Baik
9/2/2020,14,0,11,20,20,O3,Good,1,Baik
9/3/2020,12,0,10,17,17,O3,Good,1,Baik
9/4/2020,14,0,19,17,19,CO,Good,1,Baik
9/5/2020,23,0,16,13,23,PM10,Good,1,Baik
9/6/2020,12,0,8,16,16,O3,Good,1,Baik
9/7/2020,13,0,10,15,15,O3,Good,1,Baik
9/8/2020,19,0,18,16,19,PM10,Good,1,Baik
